Company;Type;Reg.nr.;PAX;YOM;
IFLY S.A;Agusta - AW109 Power;SX-HKV;5;2003;Helicopter
Life Line Aviation;Agusta A109 C;SX-HTK;7;1991;Helicopter
Hoverfly Divisione Sam S.R.L.;Agusta A109S;I-HFLY;6;2021;Helicopter
Air-Dynamic (Operated by Esperia Aviation Services S.p.A.);Agusta A109S Grand;I-ESPA;6;2009;Helicopter
Air-Dynamic (Operated by Esperia Aviation Services S.p.A.);Agusta A109S Grand;I-ESPI;6;2010;Helicopter
Set Air;Agusta AB139;TC-HLK;7;2022;VIP Airliner
Swiss Group International SGI AG (Operated by Sky Vision Airlines);Airbus  A320;SU-SKB;180;2004;Airliner
Mayfair Jets DWC LLC (Operated by AlMasria Universal Airlines);Airbus  A321;SU-TCL;220;2013;Airliner
DC Aviation Al Futtaim LLC (Operated by DC AVIATION SAN MARINO S.R.L.);Airbus 318 Elite;T7-ELSA;19;2010;VIP Airliner
Amelia (Operated by Amelia International);Airbus 319 Long Range;OE-LIA;60;2004;VIP Airliner
Global Jet Luxembourg S.A. (Operated by Global Jet Aruba V.B.A.);Airbus 320 Corporate Jet;P4-HSJ;31;2012;VIP Airliner
Air X;Airbus 340 VIP;9H-BIG;100;2000;Airliner
Druk Asia (Operated by Drukair Corporation Limited);Airbus A319;A5-RGG;118;2004;VIP Airliner
Amelia (Operated by Amelia International);Airbus A319;F-HDSJ;68;2008;VIP Airliner
Global Jet Luxembourg S.A. (Operated by Global Jet Aruba V.B.A.);Airbus A330;P4-MLO;30;2002;VIP Airliner
Comlux Aviation;Airbus ACJ318;9H-BDONE;18;2013;VIP Airliner
Comlux Aviation;Airbus ACJ319;9H-TBN;19;2012;VIP Airliner
Emirates;Airbus ACJ319;A6-CJE;19;2012;VIP Airliner
Rotana Jet;Airbus ACJ319;A6-RRJ;50;2012;VIP Airliner
Qatar Executive;Airbus ACJ319;A7-HHJ;19;2000;VIP Airliner
K5-Aviation;Airbus ACJ319neo;D-ANEO;19;2020;VIP Airliner
Global Jet Luxembourg S.A.;Airbus ACJ319neo;LX-NYX;10;2023;VIP Airliner
Acropolis Aviation Ltd;Airbus ACJ320neo;G-KELT;19;2019;VIP Airliner
K5-Aviation;Airbus ACJ330-300;D-AXEO;32;2021;VIP Airliner
MJet GmbH;Airbus Corporate Jetliner;OE-ICE;19;2011;VIP Airliner
LIFE Srl Unipersonale (Operated by MyCopter srl);Airbus EC135;9H-VIP;6;2001;Helicopter
Air-Dynamic (Operated by Star Work Sky S.A.S.);AIRBUS Helicopter AS350 B3;I-HASB;5;2010;Helicopter
Flapper Technologies LLC (Operated by Bravo Táxi Aéreo);AIRBUS Helicopter AS350 B3;PS-EII;5;2024;Helicopter
SOZJET HAVACILIK ANONİM ŞİRKETİ (Operated by Skyline Aviation);AW-109SP;TC-HME;5;2013;Helicopter
FCM JETS Group Ltd;Beechjet 400A;9H-YFJ;7;1999;Light Jet
JetBee Czech s.r.o.;Beechjet 400A;OK-BEE;8;2004;Light Jet
Smart Jet Sp z o.o.;Beechjet 400A;SP-TAT;7;2000;Light Jet
Mayfair Jets DWC LLC (Operated by AlMasria Universal Airlines);Boeing 737-400;SU-TCK;168;1998;Airliner
Oryx Jet (Operated by Comlux Aviation);Boeing 737-500 VIP;9H-MAC;56;1991;Airliner
Royal Jet;Boeing 737-700;A6-RJK;58;2007;Airliner
Comlux Aviation (Operated by Comlux Aruba);Boeing 767-200 VIP;P4-CLA;51;2002;Airliner
Air X;Boeing BBJ;9H-ELF;12;2001;VIP Airliner
Jet Aviation Business Jets AG (Operated by Jet Aviation Flight Services (Malta) Ltd.);Boeing BBJ;9H-GGG;15;2013;VIP Airliner
Royal Jet;Boeing BBJ;A6-AIN;46;1999;VIP Airliner
Royal Jet;Boeing BBJ;A6-DAS;46;2000;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJA;19;2010;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJF;19;2018;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJU;34;2015;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJV;34;2015;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJZ;52;1999;VIP Airliner
Empire Aviation Group (Operated by Empire Aviation San Marino SRL.);Boeing BBJ;T7-HAS;18;2010;VIP Airliner
EAC Group (Operated by Avcon Jet SRL);Boeing BBJ;T7-MAK;17;2010;VIP Airliner
Global Jet Luxembourg S.A.;Boeing BBJ 3;LX-DIO;19;2016;VIP Airliner
DAS Private Jets GmbH;Challenger 300;D-BEAM;8;2014;Super Midsize Jet
Windrose Air;Challenger 300;D-BUBI;9;2007;Super Midsize Jet
Goldeck-Flug;Challenger 300;OE-HCA;8;2010;Super Midsize Jet
Elio Jet a.s.;Challenger 300;OK-AOA;9;2011;Super Midsize Jet
1903 Aviation AB;Challenger 300;SE-RMA;9;2006;Super Midsize Jet
OSCAR HAVACILIK TURIZM VE MEDYA HIZMETLERI SANAYI TICARET ANONIM SIRKETI (Operated by Bonair);Challenger 300;TC-EAR;9;2010;Super Midsize Jet
Pijet Havacilik Turizm ve Danismanlik Hizmetleri Ticaret Limited Sirketi (Operated by Genel Havacilik A.S.);Challenger 300;TC-SPL;8;2013;Super Midsize Jet
Toyo Aviation;Challenger 300;YR-TRC;9;2009;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-CEA;8;2017;Super Midsize Jet
Air Charter Scotland;Challenger 350;9H-MRT;9;2014;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCA;8;2014;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCB;8;2014;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCC;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCD;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCE;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCF;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCG;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCJ;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCK;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCL;8;2016;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCM;8;2016;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCN;8;2016;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCO;8;2016;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCP;8;2021;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCQ;8;2022;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCR;8;2022;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCS;8;2022;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCT;8;2022;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCU;8;2022;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCV;8;2022;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCW;8;2016;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCX;8;2015;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCY;8;2016;Super Midsize Jet
Vista (Operated by VistaJet Ltd);Challenger 350;9H-VCZ;8;2016;Super Midsize Jet
Sundt Air;Challenger 350;LN-STB;8;2016;Super Midsize Jet
Gojet247 (Operated by Alba Jet S.A.);Challenger 350;LV-HAT;8;2017;Super Midsize Jet
Global Jet Luxembourg S.A.;Challenger 350;LX-GJM;8;2019;Super Midsize Jet
Magna Aviation (Operated by SPARFELL Luftfahrt GmbH);Challenger 350;OE-HAA;8;2018;Super Midsize Jet
SPARFELL Luftfahrt GmbH;Challenger 350;OE-HCU;9;2021;Super Midsize Jet
Glock Aviation GmbH;Challenger 350;OE-HGG;8;2016;Super Midsize Jet
Avcon Jet AG;Challenger 350;OE-HNL;9;2020;Super Midsize Jet
EFS European Flight Service;Challenger 350;SE-RNR;8;2018;Super Midsize Jet
EFS European Flight Service;Challenger 350;SE-RNT;8;2021;Super Midsize Jet
VOLUXIS (Operated by Voluxis San Marino);Challenger 350;T7-DNK;9;2017;Super Midsize Jet
Bikinijet (Operated by BKNJET HAVACILIK A.Ş.);Challenger 350;TC-AKS;9;2017;Super Midsize Jet
Avcon Jet AG (Operated by Avcon Jet Malta Ltd);Challenger 3500;9H-CHL;9;2025;Super Midsize Jet
Air Corporate S.R.L.;Challenger 3500;9H-LRST;9;2026;Super Midsize Jet
Avcon Jet AG (Operated by Avcon Jet Malta Ltd);Challenger 3500;9H-MAAM;6;2024;Super Midsize Jet
Aero-Dienst GmbH;Challenger 3500;D-BGAC;9;2023;Super Midsize Jet
Avcon Jet AG;Challenger 3500;OE-HEJ;6;2025;Super Midsize Jet
Glock Aviation GmbH;Challenger 3500;OE-HGL;8;2024;Super Midsize Jet
Avcon Jet AG;Challenger 3500;OE-HOZ;9;2024;Super Midsize Jet
Blackbird Air  A/S;Challenger 3500;OY-CHL;9;2024;Super Midsize Jet
Jet Story;Challenger 3500;SP-CUD;9;2023;Super Midsize Jet
Jet Story;Challenger 3500;SP-IRT;9;2023;Super Midsize Jet
Arkasair;Challenger 3500;TC-ARK;8;2023;Super Midsize Jet
Avcon Jet AG (Operated by Avcon Jet SRL);Challenger 601;T7-MNG;9;1992;Heavy Jet
Volare Aviation Ltd;Challenger 604;2-HWDN;10;2002;Heavy Jet
Volare Aviation Ltd;Challenger 604;2-NITE;12;2005;Heavy Jet
Volare Aviation Ltd;Challenger 604;2-RANI;12;2001;Heavy Jet
Air X;Challenger 604;9H-ATGT;8;2002;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 604;9H-VFK;10;2000;Heavy Jet
Air Independence;Challenger 604;D-AAAX;10;2004;Heavy Jet
Air Independence;Challenger 604;D-AAAY;12;2006;Heavy Jet
Air Independence;Challenger 604;D-AEOM;12;2006;Heavy Jet
FAI Ambulance (Operated by FAI rent-a-jet);Challenger 604;D-AFAA;4;1998;Heavy Jet
FAI rent-a-jet;Challenger 604;D-AFAB;12;1998;Heavy Jet
FAI Ambulance (Operated by FAI rent-a-jet);Challenger 604;D-AFAD;4;1997;Heavy Jet
MHS Aviation GmbH;Challenger 604;D-ANGB;8;2002;Heavy Jet
Air Independence;Challenger 604;D-ATMJ;10;2003;Heavy Jet
Air Independence;Challenger 604;OE-ITH;10;2006;Heavy Jet
Jetflite;Challenger 604;OH-WIC;18;2000;Heavy Jet
Luxaviation Luxembourg (Operated by Luxaviation San Marino S.R.L.);Challenger 604;T7-DYN;5;2005;Heavy Jet
Luxaviation (Operated by Luxaviation San Marino S.R.L.);Challenger 604;T7-GOSHI;11;2000;Heavy Jet
Jet Globe;Challenger 604;TC-TRS;9;2004;Heavy Jet
Mira Aviation (Operated by Union Aviation);Challenger 604;YL-TIM;10;2003;Heavy Jet
ElitAvia Malta Ltd.;Challenger 605;9H-ALD;9;2008;Heavy Jet
Gestair Aviation Malta;Challenger 605;9H-OWL;10;2013;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFA;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFB;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFC;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFD;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFE;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFF;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFG;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFH;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFI;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFJ;12;2014;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFM;12;2010;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFN;12;2007;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFO;12;2008;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFP;12;2010;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFR;12;2010;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 605;9H-VFS;12;2009;Heavy Jet
Falcon Aviation Services;Challenger 605;A6-FAM;10;2014;Heavy Jet
Gulf Wings FZE;Challenger 605;A6-SAJ;12;2011;Heavy Jet
Aviation Services Management FZE (Operated by ASM AIR);Challenger 605;A6-VGG;9;2010;Heavy Jet
Gulf Wings FZE;Challenger 605;A6-YES;12;2014;Heavy Jet
PANAVIATIC AS;Challenger 605;ES-BTC;11;2008;Heavy Jet
European Air Ambulance;Challenger 605;LX-AMB;6;2009;Heavy Jet
EGT JET LTD.;Challenger 605;LZ-VPI;9;2008;Heavy Jet
ABS Jets;Challenger 605;OK-WAY;10;2013;Heavy Jet
Eclair s.r.o.;Challenger 605;OKBPS;12;2014;Heavy Jet
ASL (Operated by JetNetherlands BV);Challenger 605;PH-HWM;10;2014;Heavy Jet
AMC Aviation;Challenger 605;SP-AMC;11;2008;Heavy Jet
Bluedot Charters and Air Ambulance Services Co. (Operated by Gainjet Aviation S.A.);Challenger 605;SX-DHB;7;2012;Heavy Jet
Alexjet (Operated by Alex Jets San Marino S.R.L.);Challenger 605;T7-ALX1;11;2013;Heavy Jet
Sky Lounge Services;Challenger 605;T7-BCH;12;2010;Heavy Jet
Alexjet (Operated by Alex Jets San Marino S.R.L.);Challenger 605;T7-KBI;8;2008;Heavy Jet
AXIS Aviation AG;Challenger 605;T7-POL;8;2008;Heavy Jet
TAG Aviation UK;Challenger 650;9H-CCH;8;2018;Heavy Jet
TAG Aviation UK;Challenger 650;9H-JJC;11;2017;Heavy Jet
Luxaviation (Operated by London Executive Aviation);Challenger 650;G-VNOR;8;2016;Heavy Jet
RCR JETS AG (Operated by Premium Jet GmbH);Challenger 650;OE-LUA;8;2019;Heavy Jet
Jetflite;Challenger 650;OH-WIW;12;2020;Heavy Jet
Time Air;Challenger 650;OK-RHO;11;2018;Heavy Jet
Eclair s.r.o.;Challenger 650;OKRBJ;12;2015;Heavy Jet
AEROFUEL SOLUTIONS (Operated by FTC Aviation Srl);Challenger 650;T7-MIN;11;2018;Heavy Jet
Swan Aviation;Challenger 650;TC-ERM;12;2020;Heavy Jet
Fiba Air;Challenger 650;TC-FNH;12;2017;Heavy Jet
Air X;Challenger 850;9H-AMY;13;2007;Heavy Jet
Air X;Challenger 850;9H-BOO;15;2007;Heavy Jet
Air X;Challenger 850;9H-CLG;12;2008;Heavy Jet
Air X;Challenger 850;9H-CWM;14;2010;Heavy Jet
Air X;Challenger 850;9H-DOM;13;2008;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 850;9H-ILA;14;2009;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 850;9H-ILB;14;2010;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 850;9H-ILI;14;2005;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 850;9H-ILV;14;2008;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 850;9H-ILY;14;2007;Heavy Jet
Vista (Operated by VistaJet Ltd);Challenger 850;9H-ILZ;14;2008;Heavy Jet
Air X;Challenger 850;9H-JAD;16;2007;Heavy Jet
Air X;Challenger 850;9H-JOY;15;2002;Heavy Jet
Neo Havacilik Anonim Sirketi (Operated by Hyperion Aviation ltd);Challenger 850;9H-SAR;13;2007;Heavy Jet
Air X;Challenger 850;9H-YOU;16;2009;Heavy Jet
CEOJETSET (Operated by PT. Jet Eksekutif Travya (JETSET));Challenger 850;PK-KAS;15;2009;Heavy Jet
Guven Air Havacılık Sanayi ve Ticaret Anonim Şirketi;Challenger 850;TC-GVN;15;2007;Heavy Jet
Plures (Operated by BE AERO HAVACILIK A.Ş);Challenger 850;TC-TAC;15;2012;Heavy Jet
Euro Link;Citation Bravo;D-CELI;9;2002;Light Jet
Euro Link;Citation Bravo;D-CESA;8;2003;Light Jet
The Little Jet Company Ltd (Operated by Regency Jet Limited);Citation Bravo;G-IPLY;7;2000;Light Jet
DragonFly Executive Aviation Charter;Citation Bravo;G-SPJT;8;2004;Light Jet
Gojet247 (Operated by Broker Air Sociedad Anonima);Citation Bravo;LV-KFL;8;1998;Light Jet
Jetfly Airline GmbH;Citation Bravo;OEGLL;8;2003;Light Jet
Air-Transport Europe;Citation Bravo;OM-ATN;8;2002;Light Jet
IFLY S.A;Citation Bravo;SX-BMK;5;2001;Light Jet
PANJET;Citation Bravo;TC-AHE;7;2005;Light Jet
Bonair;Citation Bravo;TC-MKA;7;2001;Light Jet
SPREE FLUG Luftfahrt GmbH;Citation CJ;D-ICEE;5;1994;Light Jet
Fly Point Flugservice Haufe KG;Citation CJ;D-ILIA;5;1993;Light Jet
Heron Aviation;Citation CJ;D-IMCJ;5;1998;Light Jet
VALLJET;Citation CJ;F-HGPG;5;1995;Light Jet
VALLJET;Citation CJ;F-HIVA;5;1998;Light Jet
VALLJET;Citation CJ;F-HRIB;5;1997;Light Jet
Naljets Ltd;Citation CJ;G-KION;5;1998;Light Jet
Sardinian Sky Service srl;Citation CJ;I-CABD;5;1999;Light Jet
PrivateJetFinder LTD (Operated by Janez Let d.o.o.);Citation CJ;S5-CSS;6;1994;Light Jet
STARJET GROUP SA (Operated by Heron Aviation);Citation CJ 4;D-CDDN;8;2013;Light Jet
Exxaero Fleet B.V. (Operated by Exxaero GmbH);Citation CJ1;D-IKMO;5;1998;Light Jet
Star Wings GmbH;Citation CJ1;D-ILHC;4;2009;Light Jet
DALaviation Switzerland Sàrl (Operated by ProAir Aviation GmbH);Citation CJ1;D-IMOI;5;1998;Light Jet
Star Wings GmbH;Citation CJ1;D-INCS;5;2001;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ1;D-IRSB;5;2001;Light Jet
VALLJET;Citation CJ1;F-HAJD;5;2004;Light Jet
VALLJET;Citation CJ1;F-HJAV;5;2001;Light Jet
ROYAL CLASS;Citation CJ1;LV-JUN;5;1999;Light Jet
Voyage Air (Operated by Aeroways GmbH);Citation CJ1;OE-FIX;6;2005;Light Jet
UNITED EAGLE d.o.o.;Citation CJ1;S5-CEG;5;2004;Light Jet
Bartolini Air;Citation CJ1;SP-CIT;5;2004;Light Jet
Bartolini Air;Citation CJ1;SP-DLV;6;1998;Light Jet
Bartolini Air;Citation CJ1;SP-IZU;6;2000;Light Jet
Gama Aviation Ltd (Operated by GAMA AVIATION SAN MARINO S.r.l.);Citation CJ1;T7-5MM;5;2001;Light Jet
Alliance Executive Jets Ltd;Citation CJ1+;9H-LION;6;2009;Light Jet
STARJET GROUP SA (Operated by Aeroways GmbH);Citation CJ1+;D-IGVA;6;2009;Light Jet
BlissAir GmbH (Operated by ChallengeLine);Citation CJ1+;D-IHKW;5;2008;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ1+;D-IJLJ;5;2007;Light Jet
STARJET GROUP SA (Operated by Aeroways GmbH);Citation CJ1+;D-ISIR;6;2010;Light Jet
VALLJET;Citation CJ1+;F-HVVA;5;2006;Light Jet
Smartline Luftfahrt GmbH;Citation CJ1+;OE-FSR;5;2007;Light Jet
ASL;Citation CJ1+;OO-CCJ;5;2008;Light Jet
Air Pannonia Ltd;Citation CJ2;9A-JET;6;2004;Light Jet
Air Pannonia Ltd;Citation CJ2;9A-JIP;6;2004;Light Jet
Jung Sky d.o.o.;Citation CJ2;9A-JSD;6;2003;Light Jet
Jung Sky d.o.o.;Citation CJ2;9A-JSE;6;2002;Light Jet
Av8jet;Citation CJ2;9H-PMN;5;2002;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ2;D-IALI;5;2001;Light Jet
HYPE Private Jets GmbH (Operated by Transavia);Citation CJ2;D-ICMD;6;2002;Light Jet
Business Jet Aviation GmbH (Operated by ProAir Aviation GmbH);Citation CJ2;D-IGRK;5;2004;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ2;D-IJOA;5;2001;Light Jet
FSH Aviation GmbH;Citation CJ2;D-IKCG;6;2006;Light Jet
HYPE Private Jets GmbH (Operated by Transavia);Citation CJ2;D-IPVD;6;2005;Light Jet
HYPE Private Jets GmbH (Operated by Transavia);Citation CJ2;D-IQQQ;6;2004;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ2;D-ISJP;5;2001;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ2;D-IWIR;5;2002;Light Jet
FSH Aviation GmbH;Citation CJ2;D-IXXX;6;2006;Light Jet
VALLJET;Citation CJ2;F-HJJV;6;2004;Light Jet
VALLJET;Citation CJ2;F-HVLJ;6;2009;Light Jet
FLYINGGROUP;Citation CJ2;LX-AIN;8;2008;Light Jet
Smartline Luftfahrt GmbH;Citation CJ2;OE-FAF;6;2004;Light Jet
RAT CJ2 GmbH & Co. KGHQ (Operated by Aeroways GmbH);Citation CJ2;OE-FRH;6;2003;Light Jet
Flapper Technologies LLC (Operated by Taxi Aereo Piracicaba Ltda.);Citation CJ2;PR-TAP;6;2003;Light Jet
Bartolini Air;Citation CJ2;SP-TWO;6;2004;Light Jet
Winair Ltd;Citation CJ2+;9A-DWA;7;2008;Light Jet
Av8jet;Citation CJ2+;9H-BOD;5;2013;Light Jet
Valair Private Jets;Citation CJ2+;CS-DOT;8;2008;Light Jet
Ijet Aviation (Operated by DBT Transportes Aéreos, Lda);Citation CJ2+;CS-FRH;7;2007;Light Jet
Nortea Jets, S.L. (Operated by DBT Transportes Aéreos, Lda);Citation CJ2+;CS-FRI;8;2007;Light Jet
Star Wings GmbH;Citation CJ2+;D-IAKN;7;2007;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IBEA;7;2008;Light Jet
DALaviation Switzerland Sàrl (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IBLK;6;2012;Light Jet
STARJET GROUP SA (Operated by Aeroways GmbH);Citation CJ2+;D-IBRN;8;2012;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IEGA;7;2008;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IEGO;7;2007;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IENE;7;2012;Light Jet
STARJET GROUP SA (Operated by Aeroways GmbH);Citation CJ2+;D-IFIS;7;2008;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IFRT;7;2009;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IGAL;7;2009;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IKBO;7;2007;Light Jet
DigaJet GmbH;Citation CJ2+;D-ILOU;6;2013;Light Jet
DALaviation Switzerland Sàrl (Operated by ProAir Aviation GmbH);Citation CJ2+;D-ILUI;6;2010;Light Jet
DigaJet GmbH;Citation CJ2+;D-ILWP;6;2010;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-IMFE;7;2009;Light Jet
Atlantic Air Solutions (Operated by ProAir Aviation GmbH);Citation CJ2+;D-ISCV;7;2008;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ2+;D-ISJA;6;2007;Light Jet
DigaJet GmbH;Citation CJ2+;D-ISLT;6;2008;Light Jet
STARJET GROUP SA (Operated by Aeroways GmbH);Citation CJ2+;D-IWPS;7;2012;Light Jet
VALLJET;Citation CJ2+;F-HEMI;6;2012;Light Jet
IXAIR;Citation CJ2+;F-HIJD;7;2011;Light Jet
Let's Fly Helicopter and Jet;Citation CJ2+;F-HRSC;7;2007;Light Jet
Catreus Ltd;Citation CJ2+;G-ILBG;6;2010;Light Jet
Tenil S.A.;Citation CJ2+;LV-GWZ;6;2006;Light Jet
PARADOX JETS LTD;Citation CJ2+;LZ-PPL;7;2009;Light Jet
Bairline Fluggesellschaft mbH & Co KG;Citation CJ2+;OE-FBC;7;2012;Light Jet
Avcon Jet AG;Citation CJ2+;OE-FBL;8;2011;Light Jet
Euro Flight Aviation Services;Citation CJ2+;OE-FLO;7;2009;Light Jet
SalzburgJetAviation GmbH;Citation CJ2+;OE-FPK;6;2008;Light Jet
Scanwings;Citation CJ2+;OH-SWI;7;2008;Light Jet
Scanwings;Citation CJ2+;OH-SWJ;7;2008;Light Jet
Alpha Aviation s.r.o.;Citation CJ2+;OK-DLM;7;2008;Light Jet
ABS Jets (Operated by DSA as);Citation CJ2+;OK-DSY;6;2012;Light Jet
ASL;Citation CJ2+;OO-ACC;6;2008;Light Jet
ZondaJet.Com Sp. z o.o.;Citation CJ2+;SP-JET;6;2008;Light Jet
Valair Private Jets;Citation CJ3;CS-DGW;7;2008;Light Jet
Nortea Jets, S.L. (Operated by DBT Transportes Aéreos, Lda);Citation CJ3;CS-DIY;7;2007;Light Jet
Nortea Jets, S.L. (Operated by DBT Transportes Aéreos, Lda);Citation CJ3;CS-DJM;8;2012;Light Jet
Ijet Aviation (Operated by DBT Transportes Aéreos, Lda);Citation CJ3;CS-DOL;7;2009;Light Jet
Valair Private Jets;Citation CJ3;CS-DOS;8;2007;Light Jet
Valair Private Jets;Citation CJ3;CS-DVH;8;2007;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ3;D-CENT;7;2007;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ3;D-CGER;7;2006;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ3;D-COGA;7;2007;Light Jet
VALLJET;Citation CJ3;F-HTSB;6;2008;Light Jet
Jet View;Citation CJ3;OE-GSF;7;2008;Light Jet
Jet View;Citation CJ3;OE-GTO;6;2006;Light Jet
Alpha Aviation s.r.o.;Citation CJ3;OK-KIN;7;2011;Light Jet
FLY MY SKY DOO BEOGRAD;Citation CJ3;YU-BTN;7;2007;Light Jet
FLY MY SKY DOO BEOGRAD;Citation CJ3;YU-NEM;8;2006;Light Jet
E-Aviation Eisele Flugdienst GmbH;Citation CJ3+;D-CHAT;7;2021;Light Jet
Hahn Air Lines GmbH;Citation CJ3+;D-CHRF;6;2020;Light Jet
FLYINGGROUP;Citation CJ3+;LX-FYG;8;2023;Light Jet
Jet View;Citation CJ3+;OE-GAB;7;2025;Light Jet
Fly Tyrol / ABC Bedarfsflug;Citation CJ3+;OE-GAF;6;2022;Light Jet
Skyside GmbH;Citation CJ3+;OE-GCN;6;2023;Light Jet
UNITED EAGLE d.o.o.;Citation CJ3+;S5-CES;7;2021;Light Jet
EFS European Flight Service;Citation CJ3+;SE-RNP;6;2021;Light Jet
ZondaJet.Com Sp. z o.o.;Citation CJ3+;SP-JOY;6;2018;Light Jet
ZondaJet.Com Sp. z o.o.;Citation CJ3+;SP-MDD;6;2023;Light Jet
Air Charter Scotland;Citation CJ4;9H-BEM;7;2018;Light Jet
Excellent Air (Operated by Ohlair Charterflug);Citation CJ4;D-CEUS;8;2016;Light Jet
